date,clae2,salary,dollar,dolarized_salary
2007-02-01,78,1098,3.12,352
2007-02-01,79,1616,3.12,518
2007-02-01,80,1223,3.12,392
2007-02-01,81,741,3.12,238
2007-02-01,82,1415,3.12,454
2007-02-01,85,1025,3.12,329
2007-02-01,86,1638,3.12,525
2007-02-01,87,1288,3.12,413
2007-02-01,88,1172,3.12,376
2007-02-01,90,1210,3.12,388
2007-02-01,91,1227,3.12,393
2007-02-01,92,1611,3.12,516
2007-02-01,93,1093,3.12,350
2007-02-01,94,1411,3.12,452
2007-02-01,95,1223,3.12,392
2007-02-01,96,943,3.12,302
2007-02-01,999,1839,3.12,589
2007-03-01,1,1086,3.12,348
2007-03-01,2,1041,3.12,334
2007-03-01,3,2187,3.12,701
2007-03-01,5,2491,3.12,798
2007-03-01,6,11766,3.12,3771
2007-03-01,7,3709,3.12,1189
2007-03-01,8,2291,3.12,734
2007-03-01,9,3357,3.12,1076
2007-03-01,10,1587,3.12,509
2007-03-01,11,2354,3.12,754
2007-03-01,12,2824,3.12,905
2007-03-01,13,1385,3.12,444
2007-03-01,14,1209,3.12,388
2007-03-01,15,1403,3.12,450
2007-03-01,16,1365,3.12,438
2007-03-01,17,2190,3.12,702
2007-03-01,18,1566,3.12,502
2007-03-01,19,4737,3.12,1518
2007-03-01,20,2793,3.12,895
2007-03-01,21,3040,3.12,974
2007-03-01,22,1688,3.12,541
2007-03-01,23,1842,3.12,590
2007-03-01,24,3009,3.12,964
2007-03-01,25,1498,3.12,480
2007-03-01,26,2021,3.12,648
2007-03-01,27,1665,3.12,534
2007-03-01,28,1775,3.12,569
2007-03-01,29,2332,3.12,747
2007-03-01,30,2482,3.12,796
2007-03-01,31,1553,3.12,498
2007-03-01,32,1377,3.12,441
2007-03-01,33,1803,3.12,578
2007-03-01,35,3759,3.12,1205
2007-03-01,36,3220,3.12,1032
2007-03-01,37,1682,3.12,539
2007-03-01,38,2087,3.12,669
2007-03-01,39,1466,3.12,470
2007-03-01,41,1367,3.12,438
2007-03-01,42,1795,3.12,575
2007-03-01,43,1388,3.12,445
2007-03-01,45,1501,3.12,481
2007-03-01,46,1771,3.12,568
2007-03-01,47,1212,3.12,388
2007-03-01,49,1612,3.12,517
2007-03-01,50,2429,3.12,779
2007-03-01,51,2931,3.12,939
2007-03-01,52,1777,3.12,570
2007-03-01,53,1935,3.12,620
2007-03-01,55,1399,3.12,448
2007-03-01,56,931,3.12,298
2007-03-01,58,2139,3.12,686
2007-03-01,59,1848,3.12,592
2007-03-01,60,2516,3.12,806
2007-03-01,61,2726,3.12,874
2007-03-01,62,2548,3.12,817
2007-03-01,63,2575,3.12,825
2007-03-01,64,2990,3.12,958
2007-03-01,65,2545,3.12,816
2007-03-01,66,1812,3.12,581
2007-03-01,68,1211,3.12,388
2007-03-01,69,1325,3.12,425
2007-03-01,70,1522,3.12,488
2007-03-01,71,1659,3.12,532
2007-03-01,72,3395,3.12,1088
2007-03-01,73,1755,3.12,562
2007-03-01,74,1384,3.12,444
2007-03-01,75,850,3.12,272
2007-03-01,77,1447,3.12,464
2007-03-01,78,1066,3.12,342
2007-03-01,79,1625,3.12,521
2007-03-01,80,1180,3.12,378
2007-03-01,81,746,3.12,239
2007-03-01,82,1362,3.12,437
2007-03-01,85,1126,3.12,361
2007-03-01,86,1598,3.12,512
2007-03-01,87,1280,3.12,410
2007-03-01,88,1152,3.12,369
2007-03-01,90,1113,3.12,357
2007-03-01,91,1254,3.12,402
2007-03-01,92,1615,3.12,518
2007-03-01,93,1068,3.12,342
2007-03-01,94,1428,3.12,458
2007-03-01,95,1199,3.12,384
2007-03-01,96,926,3.12,297
2007-03-01,999,1926,3.12,617
2007-04-01,1,1007,3.12,323
2007-04-01,2,1113,3.12,357
2007-04-01,3,1999,3.12,641
2007-04-01,5,3363,3.12,1078
2007-04-01,6,6718,3.12,2153
2007-04-01,7,3314,3.12,1062
2007-04-01,8,2250,3.12,721
2007-04-01,9,3066,3.12,983
2007-04-01,10,1543,3.12,495
2007-04-01,11,2115,3.12,678
2007-04-01,12,2136,3.12,685
2007-04-01,13,1385,3.12,444
2007-04-01,14,1212,3.12,388
2007-04-01,15,1372,3.12,440
2007-04-01,16,1334,3.12,428
2007-04-01,17,2106,3.12,675
2007-04-01,18,1591,3.12,510
2007-04-01,19,3109,3.12,996
2007-04-01,20,2760,3.12,885
2007-04-01,21,2980,3.12,955
2007-04-01,22,1705,3.12,546
2007-04-01,23,1866,3.12,598
2007-04-01,24,3761,3.12,1205
2007-04-01,25,1496,3.12,479
2007-04-01,26,2043,3.12,655
2007-04-01,27,1759,3.12,564
2007-04-01,28,1739,3.12,557
2007-04-01,29,2481,3.12,795
2007-04-01,30,2297,3.12,736
2007-04-01,31,1386,3.12,444
2007-04-01,32,1426,3.12,457
2007-04-01,33,1874,3.12,601
2007-04-01,35,2847,3.12,912
2007-04-01,36,2564,3.12,822
2007-04-01,37,1688,3.12,541
2007-04-01,38,2100,3.12,673
2007-04-01,39,1097,3.12,352
2007-04-01,41,1417,3.12,454
2007-04-01,42,1827,3.12,586
2007-04-01,43,1383,3.12,443
2007-04-01,45,1542,3.12,494
2007-04-01,46,1683,3.12,539
2007-04-01,47,1250,3.12,401
2007-04-01,49,1645,3.12,527
2007-04-01,50,2541,3.12,814
2007-04-01,51,2932,3.12,940
2007-04-01,52,1842,3.12,590
2007-04-01,53,2039,3.12,654
2007-04-01,55,1429,3.12,458
2007-04-01,56,953,3.12,305
2007-04-01,58,2054,3.12,658
2007-04-01,59,1819,3.12,583
2007-04-01,60,2277,3.12,730
2007-04-01,61,2368,3.12,759
2007-04-01,62,2545,3.12,816
2007-04-01,63,2275,3.12,729
2007-04-01,64,3042,3.12,975
2007-04-01,65,2370,3.12,760
2007-04-01,66,1656,3.12,531
2007-04-01,68,1205,3.12,386
2007-04-01,69,1343,3.12,430
2007-04-01,70,1535,3.12,492
2007-04-01,71,1710,3.12,548
2007-04-01,72,2769,3.12,888
2007-04-01,73,1852,3.12,594
2007-04-01,74,1191,3.12,382
2007-04-01,75,865,3.12,277
2007-04-01,77,1470,3.12,471
2007-04-01,78,1130,3.12,362
2007-04-01,79,1650,3.12,529
2007-04-01,80,1247,3.12,400
2007-04-01,81,753,3.12,241
2007-04-01,82,1336,3.12,428
2007-04-01,85,1210,3.12,388
2007-04-01,86,1638,3.12,525
2007-04-01,87,1294,3.12,415
2007-04-01,88,1197,3.12,384
2007-04-01,90,1194,3.12,383
2007-04-01,91,1249,3.12,400
2007-04-01,92,1649,3.12,529
2007-04-01,93,1082,3.12,347
2007-04-01,94,1468,3.12,471
2007-04-01,95,1189,3.12,381
2007-04-01,96,954,3.12,306
2007-04-01,999,1869,3.12,599
2007-05-01,1,1046,3.12,335
2007-05-01,2,1118,3.12,358
2007-05-01,3,2272,3.12,728
2007-05-01,5,2727,3.12,874
2007-05-01,6,6735,3.12,2159
2007-05-01,7,3611,3.12,1157
2007-05-01,8,2221,3.12,712
2007-05-01,9,3203,3.12,1027
2007-05-01,10,1594,3.12,511
