date,clae2,salary,dollar,dolarized_salary
2007-02-01,77,2018,3.12,647
2007-02-01,78,1292,3.12,414
2007-02-01,79,1821,3.12,584
2007-02-01,80,1246,3.12,399
2007-02-01,81,966,3.12,310
2007-02-01,82,1936,3.12,621
2007-02-01,85,1029,3.12,330
2007-02-01,86,1950,3.12,625
2007-02-01,87,1446,3.12,463
2007-02-01,88,1219,3.12,391
2007-02-01,90,1301,3.12,417
2007-02-01,91,1557,3.12,499
2007-02-01,92,2104,3.12,674
2007-02-01,93,1457,3.12,467
2007-02-01,94,1817,3.12,582
2007-02-01,95,1436,3.12,460
2007-02-01,96,1101,3.12,353
2007-02-01,999,1612,3.12,517
2007-03-01,1,1036,3.12,332
2007-03-01,2,918,3.12,294
2007-03-01,3,4755,3.12,1524
2007-03-01,5,3065,3.12,982
2007-03-01,6,16545,3.12,5303
2007-03-01,7,4054,3.12,1299
2007-03-01,8,2385,3.12,764
2007-03-01,9,4557,3.12,1461
2007-03-01,10,2178,3.12,698
2007-03-01,11,2721,3.12,872
2007-03-01,12,4106,3.12,1316
2007-03-01,13,1756,3.12,563
2007-03-01,14,1335,3.12,428
2007-03-01,15,1676,3.12,537
2007-03-01,16,1273,3.12,408
2007-03-01,17,2650,3.12,849
2007-03-01,18,1982,3.12,635
2007-03-01,19,7066,3.12,2265
2007-03-01,20,3857,3.12,1236
2007-03-01,21,4823,3.12,1546
2007-03-01,22,2142,3.12,687
2007-03-01,23,2165,3.12,694
2007-03-01,24,3213,3.12,1030
2007-03-01,25,1671,3.12,536
2007-03-01,26,2554,3.12,819
2007-03-01,27,2160,3.12,692
2007-03-01,28,2117,3.12,679
2007-03-01,29,2927,3.12,938
2007-03-01,30,2448,3.12,785
2007-03-01,31,1443,3.12,462
2007-03-01,32,1666,3.12,534
2007-03-01,33,2112,3.12,677
2007-03-01,35,5132,3.12,1645
2007-03-01,36,3382,3.12,1084
2007-03-01,37,1843,3.12,591
2007-03-01,38,2328,3.12,746
2007-03-01,39,1917,3.12,614
2007-03-01,41,1158,3.12,371
2007-03-01,42,1905,3.12,611
2007-03-01,43,1433,3.12,459
2007-03-01,45,1731,3.12,555
2007-03-01,46,1981,3.12,635
2007-03-01,47,1474,3.12,472
2007-03-01,49,2207,3.12,707
2007-03-01,50,4247,3.12,1361
2007-03-01,51,4466,3.12,1431
2007-03-01,52,2160,3.12,692
2007-03-01,53,2182,3.12,699
2007-03-01,55,1692,3.12,542
2007-03-01,56,1151,3.12,369
2007-03-01,58,3432,3.12,1100
2007-03-01,59,2304,3.12,738
2007-03-01,60,3407,3.12,1092
2007-03-01,61,4195,3.12,1345
2007-03-01,62,3330,3.12,1067
2007-03-01,63,4191,3.12,1343
2007-03-01,64,4873,3.12,1562
2007-03-01,65,3272,3.12,1049
2007-03-01,66,3399,3.12,1089
2007-03-01,68,1528,3.12,490
2007-03-01,69,1842,3.12,590
2007-03-01,70,2022,3.12,648
2007-03-01,71,1825,3.12,585
2007-03-01,72,3355,3.12,1075
2007-03-01,73,3430,3.12,1099
2007-03-01,74,1470,3.12,471
2007-03-01,75,1059,3.12,339
2007-03-01,77,2259,3.12,724
2007-03-01,78,1299,3.12,416
2007-03-01,79,1868,3.12,599
2007-03-01,80,1246,3.12,399
2007-03-01,81,964,3.12,309
2007-03-01,82,1909,3.12,612
2007-03-01,85,1115,3.12,357
2007-03-01,86,1932,3.12,619
2007-03-01,87,1503,3.12,482
2007-03-01,88,1225,3.12,393
2007-03-01,90,1174,3.12,376
2007-03-01,91,1883,3.12,604
2007-03-01,92,2195,3.12,704
2007-03-01,93,1454,3.12,466
2007-03-01,94,1848,3.12,592
2007-03-01,95,1409,3.12,452
2007-03-01,96,1122,3.12,360
2007-03-01,999,1663,3.12,533
2007-04-01,1,1038,3.12,333
2007-04-01,2,958,3.12,307
2007-04-01,3,4871,3.12,1561
2007-04-01,5,4878,3.12,1563
2007-04-01,6,9678,3.12,3102
2007-04-01,7,3698,3.12,1185
2007-04-01,8,2274,3.12,729
2007-04-01,9,4507,3.12,1445
2007-04-01,10,2111,3.12,677
2007-04-01,11,2423,3.12,777
2007-04-01,12,3325,3.12,1066
2007-04-01,13,1694,3.12,543
2007-04-01,14,1356,3.12,435
2007-04-01,15,1597,3.12,512
2007-04-01,16,1223,3.12,392
2007-04-01,17,2590,3.12,830
2007-04-01,18,2007,3.12,643
2007-04-01,19,4771,3.12,1529
2007-04-01,20,3656,3.12,1172
2007-04-01,21,4509,3.12,1445
2007-04-01,22,2108,3.12,676
2007-04-01,23,2094,3.12,671
2007-04-01,24,4253,3.12,1363
2007-04-01,25,1660,3.12,532
2007-04-01,26,2480,3.12,795
2007-04-01,27,2010,3.12,644
2007-04-01,28,2049,3.12,657
2007-04-01,29,2968,3.12,951
2007-04-01,30,2335,3.12,748
2007-04-01,31,1394,3.12,447
2007-04-01,32,1674,3.12,537
2007-04-01,33,2234,3.12,716
2007-04-01,35,3934,3.12,1261
2007-04-01,36,2976,3.12,954
2007-04-01,37,1846,3.12,592
2007-04-01,38,2505,3.12,803
2007-04-01,39,1611,3.12,516
2007-04-01,41,1159,3.12,371
2007-04-01,42,1882,3.12,603
2007-04-01,43,1431,3.12,459
2007-04-01,45,1731,3.12,555
2007-04-01,46,1948,3.12,624
2007-04-01,47,1481,3.12,475
2007-04-01,49,2288,3.12,733
2007-04-01,50,4382,3.12,1404
2007-04-01,51,4709,3.12,1509
2007-04-01,52,2179,3.12,698
2007-04-01,53,2285,3.12,732
2007-04-01,55,1688,3.12,541
2007-04-01,56,1186,3.12,380
2007-04-01,58,2908,3.12,932
2007-04-01,59,2399,3.12,769
2007-04-01,60,3031,3.12,971
2007-04-01,61,3815,3.12,1223
2007-04-01,62,3187,3.12,1021
2007-04-01,63,3326,3.12,1066
2007-04-01,64,4272,3.12,1369
2007-04-01,65,3076,3.12,986
2007-04-01,66,2729,3.12,875
2007-04-01,68,1534,3.12,492
2007-04-01,69,1881,3.12,603
2007-04-01,70,1873,3.12,600
2007-04-01,71,1930,3.12,619
2007-04-01,72,2919,3.12,936
2007-04-01,73,3160,3.12,1013
2007-04-01,74,1507,3.12,483
2007-04-01,75,1001,3.12,321
2007-04-01,77,2203,3.12,706
2007-04-01,78,1361,3.12,436
2007-04-01,79,2035,3.12,652
2007-04-01,80,1297,3.12,416
2007-04-01,81,964,3.12,309
2007-04-01,82,1818,3.12,583
2007-04-01,85,1168,3.12,374
2007-04-01,86,2035,3.12,652
2007-04-01,87,1434,3.12,460
2007-04-01,88,1253,3.12,402
2007-04-01,90,1417,3.12,454
2007-04-01,91,1604,3.12,514
2007-04-01,92,2204,3.12,706
2007-04-01,93,1487,3.12,477
2007-04-01,94,1873,3.12,600
2007-04-01,95,1503,3.12,482
2007-04-01,96,1115,3.12,357
2007-04-01,999,1708,3.12,547
2007-05-01,1,1051,3.12,337
2007-05-01,2,993,3.12,318
2007-05-01,3,4934,3.12,1581
2007-05-01,5,3567,3.12,1143
2007-05-01,6,10079,3.12,3230
2007-05-01,7,3868,3.12,1240
2007-05-01,8,2349,3.12,753
2007-05-01,9,4902,3.12,1571
2007-05-01,10,2166,3.12,694
2007-05-01,11,2577,3.12,826
2007-05-01,12,3315,3.12,1062
2007-05-01,13,1815,3.12,582
2007-05-01,14,1377,3.12,441
2007-05-01,15,1784,3.12,572
2007-05-01,16,1337,3.12,429
2007-05-01,17,2672,3.12,856
2007-05-01,18,2119,3.12,679
2007-05-01,19,4961,3.12,1590
2007-05-01,20,3201,3.12,1026
2007-05-01,21,4399,3.12,1410
2007-05-01,22,2339,3.12,750
2007-05-01,23,2244,3.12,719
2007-05-01,24,3360,3.12,1077
2007-05-01,25,1930,3.12,619
2007-05-01,26,2780,3.12,891
2007-05-01,27,2311,3.12,741
2007-05-01,28,2363,3.12,757
2007-05-01,29,3343,3.12,1071
2007-05-01,30,2524,3.12,809
2007-05-01,31,1556,3.12,499
2007-05-01,32,1811,3.12,580
2007-05-01,33,2449,3.12,785
2007-05-01,35,4111,3.12,1318
2007-05-01,36,3141,3.12,1007
2007-05-01,37,1857,3.12,595
2007-05-01,38,2633,3.12,844
2007-05-01,39,1497,3.12,480
2007-05-01,41,1276,3.12,409
2007-05-01,42,2018,3.12,647
2007-05-01,43,1552,3.12,497
2007-05-01,45,1762,3.12,565
2007-05-01,46,1917,3.12,614
